ID    A_wt_tpm    A_ko_tpm    R_wt_tpm    R_ko_tpm    p.value    log2FC_A_ko_vs_wt    log2FC_R_ko_vs_wt
0610005C13Rik    0610005C13Rik    1.49    2.15    0.452587409    0.336946551    0.363849    0.528727267139618    -0.424585502910752
0610009B22Rik    0610009B22Rik    57.49    110.56    5.662203244    5.291918536    0.943791    0.943434539399458    -0.097554857512796
0610009E02Rik    0610009E02Rik    90.57    154.93    3.835121608    4.805610335    0.995175    0.77450474886448    0.325371395379008
0610009L18Rik    0610009L18Rik    33.1    71.88    1.987930999    2.225147378    0.637833    1.11873567726383    0.162555880484086
0610010F05Rik    0610010F05Rik    71.66    128.23    4.701998278    3.756619782    0.176005    0.839484996377987    -0.323761710153602
0610010K14Rik    0610010K14Rik    50.44    116.52    36.40749139    36.77770477    0.991111    1.20792120536391    0.0145957104801262
0610012G03Rik    0610012G03Rik    26.54    52.94    16.26714383    14.87881564    0.939531    0.996162717133251    -0.128692999478248
0610030E20Rik    0610030E20Rik    16.08    30.57    15.4989391    11.34188236    0.00875861    0.92680662104957    -0.450475254424138
0610031O16Rik    0610031O16Rik    5.42    6.64    0.106109323    0.091167197    0.449605    0.29284149163876    -0.216758779403479
0610038B21Rik    0610038B21Rik    36.35    57.52    0.4651466    0.100823356    0.71712    0.662093704587733    -2.19471522287792
0610039H22Rik    0610039H22Rik    15.34    26.47    0.39701668    0.336101187    0.629689    0.787020169135499    -0.239647184852815
0610039K10Rik    0610039K10Rik    50.94    116.02    1.241640909    0.555343912    0.188119    1.18748677336096    -1.15936056862461
0610040B10Rik    0610040B10Rik    12.74    19.24    0.115322216    0.653168448    0.201273    0.594705266789996    2.49153551796765
0610040F04Rik    0610040F04Rik    50.13    65.73    0.742730718    0.511077678    0.335038    0.390870920780235    -0.538417688532485
0610040J01Rik    0610040J01Rik    9.07    14.16    0.407741159    0.477381444    0.751713    0.642589637670169    0.226973904029884
0610043K17Rik    0610043K17Rik    7.38    12.5    3.38508374    2.523202214    0.721353    0.760155310586224    -0.423790163097183
1010001N08Rik    1010001N08Rik    14.23    28.03    0.61371292    1.034724534    0.424481    0.977986170776231    0.75265563533639
1110002J07Rik    1110002J07Rik    17.26    49.81    0.820734252    0.39392931    0.294879    1.52894832654861    -1.05707746070508
1110002L01Rik    1110002L01Rik    60.67    120.71    1.14256137    0.546904135    0.0286729    0.992478154511945    -1.06153839430789
1110004F10Rik    1110004F10Rik    73.72    148.45    91.75342845    88.08787682    0.937914    1.0098392658063    -0.0588179317854145
1110006O24Rik    1110006O24Rik    23.08    27.15    0.526588305    0.310041043    0.229761    0.234299603910042    -0.762307623070424
1110008P14Rik    1110008P14Rik    21.86    36.62    5.027936048    5.107886893    0.993911    0.744311790437846    0.0227557888219914
1110012L19Rik    1110012L19Rik    22.06    31.25    8.366724519    8.561863277    0.830794    0.502404167143083    0.0332579340070644
1110015O18Rik    1110015O18Rik    1.38    1.07    0.044258795    0.020101839    0.531551    -0.366754839507795    -1.10082944029553
1110017D15Rik    1110017D15Rik    9.1    9.57    0.719962152    0.555620672    0.408551    0.0726445941508032    -0.37322903594602
1110019D14Rik    1110019D14Rik    32.64    63.58    0.578544432    0.271311349    0.22148    0.961910450469229    -1.08966216253985
1110020A21Rik    1110020A21Rik    126.71    209.69    0.666097741    0.426662588    0.0617452    0.726723169108732    -0.641425150387572
1110025L11Rik    1110025L11Rik    1.63    0.49    0.232044846    0.046320575    0.499417    -1.73196185239719    -2.30006809738997
1110028F11Rik    1110028F11Rik    1.81    0.29    0.142887833    0.139255908    0.577642    -2.63769548804188    -0.0368830617375333
1110028F18Rik    1110028F18Rik    2.72    2.05    0.301066189    0.119918829    0.290858    -0.407809464769827    -1.32082579592944
